event_id,time,src,dst,country,event_type,label
45,1.0,Protester (Afghanistan),Unspecified Actor,Afghanistan,16571464,1
33,1.0,Student (United States),Unspecified Actor,United States,16570471,1
40,1.0,Protester (Tanzania),Police (Tanzania),Tanzania,16570801,1
37,1.0,Citizen (Taiwan),Unspecified Actor,Taiwan,16570581,1
42,1.0,Political Parties (Nigeria),Unspecified Actor,Nigeria,16571398,1
41,1.0,People's Alliance for Democracy,Unspecified Actor,Thailand,16571133,1
30,1.0,Employee (France),France,France,16570103,1
59,1.0,Activist (Tunisia),Unspecified Actor,Tunisia,16569802,1
34,1.0,Citizen (United States),Unspecified Actor,United States,16570513,1
46,1.0,Protester (Afghanistan),Unspecified Actor,Afghanistan,16571465,1
38,1.0,Party of the Revolution,Unspecified Actor,Tanzania,16570751,1
29,1.0,South Sudan,Unspecified Actor,Sudan,16569936,1
53,1.0,Activist (Azerbaijan),Unspecified Actor,Azerbaijan,16567356,1
54,1.0,Human Rights Activist (France),Unspecified Actor,France,16567397,1
86,2.0,Citizen (Cote d'Ivoire),Unspecified Actor,Cote d'Ivoire,16574751,1
84,2.0,Citizen (India),Party President (Samajwadi Janata Party),India,16572336,1
82,2.0,People's Alliance for Democracy,Somchai Wongsawat,Thailand,16572226,1
81,2.0,Student (Indonesia),Unspecified Actor,Indonesia,16572187,1
62,2.0,Protester (Tanzania),Police (Tanzania),Tanzania,16575102,1
66,2.0,New Democracy,Georgios Papandreou,Greece,16575624,1
64,2.0,Party Member (Afghanistan),Unspecified Actor,Afghanistan,16575616,1
71,2.0,Rose Francine Rogombé,Unspecified Actor,Gabon,16576397,1
70,2.0,Citizen (Afghanistan),Unspecified Actor,Afghanistan,16576064,1
74,2.0,Citizen (Indonesia),Assemblies (Indonesia),Indonesia,16576625,1
72,2.0,Student (Iran),Unspecified Actor,Iran,16576509,1
73,2.0,Citizen (South Africa),Unspecified Actor,South Africa,16576519,1
63,2.0,Protester (Tanzania),Police (Tanzania),Tanzania,16575109,1
60,2.0,Citizen (Bangladesh),Unspecified Actor,Bangladesh,16574814,1
61,2.0,Citizen (South Korea),North Korea,South Korea,16574927,1
67,2.0,Antonis Samaras,Georgios Papandreou,Greece,16575625,1
68,2.0,Alliance for the Future of Kosovo,Unspecified Actor,Kosovo,16575969,1
69,2.0,Civil Servant (Namibia),Unspecified Actor,Namibia,16576032,1
85,2.0,Citizen (Brazil),Unspecified Actor,Brazil,16574730,1
65,2.0,Party Member (Afghanistan),Unspecified Actor,Afghanistan,16575617,1
80,2.0,Citizen (India),Unspecified Actor,India,16572148,1
79,2.0,Citizen (India),Unspecified Actor,India,16572127,1
78,2.0,Protester (Mexico),Unspecified Actor,Mexico,16577105,1
77,2.0,Party Member (Afghanistan),Unspecified Actor,Afghanistan,16576873,1
76,2.0,Citizen (Indonesia),Cabinet / Council of Ministers / Advisors (Indonesia),Indonesia,16576627,1
75,2.0,Citizen (Indonesia),Government (Indonesia),Indonesia,16576626,1
83,2.0,Opposition Activist (Azerbaijan),Police (Azerbaijan),Azerbaijan,16572280,1
107,3.0,Citizen (Russia),Unspecified Actor,Russian Federation,16581234,1
101,3.0,Center for Human Rights (Hong Kong),Unspecified Actor,Hong Kong,16580853,1
102,3.0,Citizen (Cote d'Ivoire),Unspecified Actor,Cote d'Ivoire,16580907,1
103,3.0,Protester (Cote d'Ivoire),Unspecified Actor,Cote d'Ivoire,16580908,1
104,3.0,Citizen (Iran),Unspecified Actor,Iran,16581029,1
105,3.0,Citizen (Greece),Unspecified Actor,Greece,16581078,1
106,3.0,Hezbollah,Unspecified Actor,Lebanon,16581113,1
121,3.0,Citizen (India),India,India,16577292,1
122,3.0,Citizen (India),Government (India),India,16577293,1
112,3.0,Citizen (Iran),Unspecified Actor,Iran,16581434,1
115,3.0,Human Rights Activist (United States),Unspecified Actor,United States,16581597,1
114,3.0,Protester (France),France,France,16581562,1
113,3.0,Activist (Spain),Benedict XVI,Spain,16581473,1
110,3.0,European Parliament,Corina Creţu,nan,16581416,1
111,3.0,Hezbollah,Unspecified Actor,Lebanon,16581431,1
109,3.0,Company - Owner or Operator (Ukraine),Unspecified Actor,Ukraine,16581377,1
108,3.0,Student (United States),Unspecified Actor,United States,16581325,1
116,3.0,Citizen (Mexico),Unspecified Actor,Mexico,16581619,1
100,3.0,Citizen (Russia),Unspecified Actor,Russian Federation,16580840,1
117,3.0,Hezbollah,Unspecified Actor,Lebanon,16581673,1
118,3.0,Student (United States),Unspecified Actor,United States,16581678,1
119,3.0,Student (United States),Unspecified Actor,United States,16581679,1
120,3.0,Citizen (United Kingdom),Court Judge (United Kingdom),United Kingdom,16577274,1
88,3.0,Bangladesh Nationalist Party,Unspecified Actor,Bangladesh,16579749,1
124,3.0,People Associated with the Opposition (Lebanon),Unspecified Actor,Lebanon,16579594,1
87,3.0,Labor Union (South Africa),Unspecified Actor,South Africa,16579739,1
90,3.0,Citizen (Iran),Unspecified Actor,Iran,16580410,1
89,3.0,Citizen (India),Unspecified Actor,India,16580155,1
91,3.0,Student (Iran),Unspecified Actor,Iran,16580458,1
95,3.0,Center for Human Rights (Hong Kong),Unspecified Actor,Hong Kong,16580642,1
94,3.0,Citizen (Russia),Unspecified Actor,Russian Federation,16580562,1
93,3.0,Unity Party (Jordan),Unspecified Actor,Jordan,16580555,1
92,3.0,Activist (Jordan),Unspecified Actor,Jordan,16580554,1
99,3.0,Citizen (Russia),Unspecified Actor,Russian Federation,16580839,1
98,3.0,Children (Russia),Unspecified Actor,Russian Federation,16580838,1
97,3.0,Student (Iran),Iran,Iran,16580774,1
96,3.0,Main Opposition (Pakistan),Pakistan,Pakistan,16580675,1
123,3.0,Protester (Brazil),Unspecified Actor,Brazil,16577674,1
148,4.0,Citizen (Nigeria),Unspecified Actor,Nigeria,16581901,1
150,4.0,Citizen (Russia),Unspecified Actor,Russian Federation,16581970,1
149,4.0,Activist (Germany),Unspecified Actor,Germany,16581933,1
147,4.0,Rights Activist (France),Unspecified Actor,France,16581855,1
143,4.0,Citizen (Iran),United States,Iran,16584817,1
141,4.0,Citizen (Iran),Qatar,Iran,16584732,1
140,4.0,Civil Servant (Namibia),Namibia,Namibia,16584680,1
145,4.0,Citizen (India),Shabir Shah,India,16581743,1
144,4.0,National League for Democracy,Unspecified Actor,Myanmar,16584931,1
146,4.0,Citizen (India),Separatist (India),India,16581744,1
142,4.0,Rights Activist (Survival International),Unspecified Actor,nan,16584773,1
152,4.0,Company - Owner or Operator (India),Unspecified Actor,India,16582133,1
153,4.0,Citizen (Hungary),Unspecified Actor,Hungary,16583592,1
132,4.0,Hezbollah,Unspecified Actor,Lebanon,16584356,1
133,4.0,Citizen (Bangladesh),Unspecified Actor,Bangladesh,16584359,1
136,4.0,Indian Muslims,United States,India,16584486,1
137,4.0,Samajwadi Janata Party,United States,India,16584487,1
134,4.0,Party Member (India),Barack Obama,India,16584437,1
135,4.0,Indian Muslims,Unspecified Actor,India,16584485,1
127,4.0,Party Member (Afghanistan),Unspecified Actor,Afghanistan,16583918,1
131,4.0,Citizen (Ethiopia),Police (Ethiopia),Ethiopia,16584296,1
129,4.0,Party Member (Myanmar),Unspecified Actor,Myanmar,16584134,1
130,4.0,George W. Bush,Unspecified Actor,United States,16584187,1
125,4.0,National League for Democracy,Unspecified Actor,Myanmar,16583797,1
126,4.0,Citizen (Myanmar),Unspecified Actor,Myanmar,16583865,1
138,4.0,National League for Democracy,Unspecified Actor,Myanmar,16584606,1
139,4.0,Student (Indonesia),Barack Obama,Indonesia,16584670,1
156,4.0,Alassane Ouattara,Unspecified Actor,Cote d'Ivoire,16583604,1
157,4.0,Alassane Ouattara,Unspecified Actor,Cote d'Ivoire,16583606,1
154,4.0,Alassane Ouattara,Unspecified Actor,Cote d'Ivoire,16583600,1
155,4.0,Alassane Ouattara,Unspecified Actor,Cote d'Ivoire,16583602,1
128,4.0,Citizen (Tanzania),Unspecified Actor,Tanzania,16584119,1
151,4.0,Activist (Germany),Unspecified Actor,Germany,16581982,1
176,5.0,Student (Indonesia),Indonesia,Indonesia,16587419,1
177,5.0,Student (Indonesia),Indonesia,Indonesia,16587420,1
199,5.0,Citizen (India),Police (India),India,16585313,1
198,5.0,Citizen (Germany),Unspecified Actor,Germany,16585269,1
197,5.0,Employee (Portugal),Unspecified Actor,Portugal,16588056,1
196,5.0,Protester (Germany),Unspecified Actor,Germany,16588020,1
195,5.0,Protester (Germany),Unspecified Actor,Germany,16587988,1
194,5.0,Protester (Germany),Unspecified Actor,Germany,16587987,1
185,5.0,Citizen (Jordan),Unspecified Actor,Jordan,16587738,1
184,5.0,Citizen (Pakistan),Unspecified Actor,Pakistan,16587729,1
193,5.0,Protester (Japan),China,Japan,16587982,1
192,5.0,Separatist (India),India,India,16587952,1
178,5.0,Activist (Indonesia),Unspecified Actor,Indonesia,16587422,1
179,5.0,Protester (United States),Unspecified Actor,United States,16587476,1
180,5.0,Citizen (Afghanistan),Unspecified Actor,Afghanistan,16587485,1
181,5.0,George W. Bush,Unspecified Actor,United States,16587587,1
182,5.0,Protester (United States),Unspecified Actor,United States,16587605,1
183,5.0,Citizen (Lebanon),Unspecified Actor,Lebanon,16587723,1
191,5.0,Citizen (Germany),Unspecified Actor,Germany,16587938,1
190,5.0,Citizen (France),Unspecified Actor,France,16587859,1
189,5.0,Protester (France),Nicolas Sarkozy,France,16587858,1
188,5.0,Citizen (France),Unspecified Actor,France,16587852,1
187,5.0,Protester (France),Nicolas Sarkozy,France,16587851,1
186,5.0,Main Opposition (Jordan),Unspecified Actor,Jordan,16587739,1
166,5.0,Human Rights Activist (United States),Unspecified Actor,United States,16587209,1
167,5.0,Lebanese Communist Party,Unspecified Actor,Lebanon,16587213,1
160,5.0,Citizen (Iran),Foreign Affairs (United States),Iran,16586830,1
161,5.0,University of Tehran,Secret Agent (United Kingdom),Iran,16586896,1
162,5.0,Citizen (Japan),China,Japan,16586980,1
163,5.0,Citizen (Japan),Japan,Japan,16586981,1
164,5.0,Hezbollah,Unspecified Actor,Lebanon,16587102,1
165,5.0,Dory Chamoun,Michel Suleiman,Lebanon,16587103,1
158,5.0,Student (Iran),Iran,Iran,16586828,1
159,5.0,Student (Iran),Foreign Affairs (United States),Iran,16586829,1
175,5.0,Party Member (Afghanistan),Unspecified Actor,Afghanistan,16587411,1
174,5.0,Party Member (Afghanistan),Unspecified Actor,Afghanistan,16587410,1
173,5.0,Protester (United States),Unspecified Actor,United States,16587397,1
172,5.0,Protester (United States),Unspecified Actor,United States,16587396,1
171,5.0,Protester (Ireland),Unspecified Actor,Ireland,16587358,1
170,5.0,Muslim (India),Barack Obama,India,16587352,1
169,5.0,Citizen (Lebanon),Unspecified Actor,Lebanon,16587224,1
168,5.0,Progressive Socialist Party,Unspecified Actor,Lebanon,16587214,1
242,6.0,Human Rights Activist (Cuba),Unspecified Actor,Cuba,16590635,1
241,6.0,Citizen (Canada),Stephen Harper,Canada,16590611,1
240,6.0,Separatist (India),India,India,16590606,1
239,6.0,Citizen (Iran),Unspecified Actor,Iran,16590580,1
238,6.0,Activist (Germany),Police (Germany),Germany,16590573,1
237,6.0,Activist (Germany),Police (Germany),Germany,16590571,1
211,6.0,Protester (South Korea),Police (South Korea),South Korea,16590042,1
212,6.0,Party Member (Afghanistan),Unspecified Actor,Afghanistan,16590064,1
219,6.0,Aung San,Unspecified Actor,Myanmar,16590160,1
220,6.0,National League for Democracy,Unspecified Actor,Myanmar,16590169,1
213,6.0,Party Member (Afghanistan),Other Authorities / Officials (Afghanistan),Afghanistan,16590065,1
214,6.0,Activist (Germany),Police (Germany),Germany,16590080,1
215,6.0,Student (Russia),Unspecified Actor,Russian Federation,16590093,1
216,6.0,Citizen (South Korea),Unspecified Actor,South Korea,16590127,1
217,6.0,Citizen (South Korea),Unspecified Actor,South Korea,16590128,1
218,6.0,Party Member (Afghanistan),Unspecified Actor,Afghanistan,16590150,1
227,6.0,Protester (Israel),Police (Israel),Israel,16590237,1
228,6.0,Citizen (South Korea),Unspecified Actor,South Korea,16590241,1
229,6.0,Communist Party of India,Unspecified Actor,India,16590318,1
230,6.0,Student (Russia),Unspecified Actor,Russian Federation,16590345,1
231,6.0,Activist (Germany),Police (Germany),Germany,16590392,1
232,6.0,Activist (Germany),Police (Germany),Germany,16590490,1
233,6.0,Activist (Germany),Police (Germany),Germany,16590492,1
234,6.0,Veterans (Russia),Defense / Security Ministry (Russia),Russian Federation,16590521,1
235,6.0,Activist (Germany),Angela Merkel,Germany,16590569,1
236,6.0,Activist (Germany),Police (Germany),Germany,16590568,1
221,6.0,Protester (South Korea),Unspecified Actor,South Korea,16590203,1
222,6.0,Citizen (South Korea),Unspecified Actor,South Korea,16590204,1
223,6.0,Protester (South Korea),Police (South Korea),South Korea,16590206,1
224,6.0,Protester (Germany),Unspecified Actor,Germany,16590226,1
225,6.0,Citizen (Germany),Unspecified Actor,Germany,16590227,1
226,6.0,Citizen (South Korea),Unspecified Actor,South Korea,16590231,1
258,6.0,Activist (Germany),Police (Germany),Germany,16588139,1
257,6.0,Citizen (Israel),Police (Israel),Israel,16588126,1
256,6.0,Citizen (Israel),Unspecified Actor,Israel,16588125,1
255,6.0,Activist (Germany),Police (Germany),Germany,16588120,1
254,6.0,Activist (Germany),Police (Germany),Germany,16588121,1
253,6.0,Activist (Jordan),Unspecified Actor,Jordan,16588100,1
243,6.0,Indigenous People (International),Unspecified Actor,nan,16590690,1
244,6.0,Activist (Germany),Police (Germany),Germany,16590732,1
251,6.0,Citizen (India),Unspecified Actor,India,16588069,1
252,6.0,Villager (India),Unspecified Actor,India,16588072,1
245,6.0,Protester (Germany),Police (Germany),Germany,16590733,1
246,6.0,Citizen (Jordan),Unspecified Actor,Jordan,16590779,1
247,6.0,National League for Democracy,Unspecified Actor,Myanmar,16590807,1
248,6.0,Citizen (Israel),Israel,Israel,16590817,1
249,6.0,Citizen (Bulgaria),Unspecified Actor,Bulgaria,16590836,1
250,6.0,Citizen (India),Member of Parliament (India),India,16588060,1
266,6.0,Protester (Russia),Unspecified Actor,Russian Federation,16588243,1
265,6.0,Activist (Russia),Unspecified Actor,Russian Federation,16588242,1
264,6.0,Activist (Germany),Police (Germany),Germany,16588237,1
263,6.0,Citizen (Russia),Unspecified Actor,Russian Federation,16588234,1
262,6.0,Activist (Germany),Police (Germany),Germany,16588158,1
261,6.0,Medical Personnel (Afghanistan),Unspecified Actor,Afghanistan,16588149,1
259,6.0,Activist (Germany),Police (Germany),Germany,16588138,1
260,6.0,Citizen (Kenya),Unspecified Actor,Kenya,16588142,1
267,6.0,Gennady Andreyevich Zyuganov,Russia,Russian Federation,16588240,1
268,6.0,Citizen (Algeria),Unspecified Actor,Algeria,16589579,1
205,6.0,Citizen (South Korea),Unspecified Actor,South Korea,16589851,1
206,6.0,National League for Democracy,Unspecified Actor,Myanmar,16589961,1
207,6.0,National League for Democracy,Unspecified Actor,Myanmar,16589964,1
208,6.0,Party Member (Afghanistan),Unspecified Actor,Afghanistan,16590013,1
209,6.0,Party Member (Afghanistan),Other Authorities / Officials (Afghanistan),Afghanistan,16590014,1
210,6.0,Activist (South Korea),Police (South Korea),South Korea,16590043,1
203,6.0,Citizen (Myanmar),Unspecified Actor,Myanmar,16589684,1
204,6.0,Citizen (Indonesia),Barack Obama,Indonesia,16589822,1
201,6.0,National League for Democracy,Unspecified Actor,Myanmar,16589647,1
202,6.0,National League for Democracy,Unspecified Actor,Myanmar,16589681,1
200,6.0,Separatist (India),India,India,16589596,1
279,7.0,Protester (Morocco),Military Personnel - Special (Morocco),Morocco,16594088,1
277,7.0,Protester (Morocco),Police (Morocco),Morocco,16594087,1
278,7.0,Citizen (Morocco),Unspecified Actor,Morocco,16594086,1
275,7.0,Citizen (Bahrain),Unspecified Actor,Bahrain,16594015,1
276,7.0,Citizen (Pakistan),Unspecified Actor,Pakistan,16594050,1
285,7.0,Protester (Morocco),Morocco,Morocco,16594356,1
286,7.0,Main Opposition (Egypt),Unspecified Actor,Egypt,16594405,1
287,7.0,Protester (Morocco),Bank (Morocco),Morocco,16594501,1
288,7.0,Protester (Morocco),Morocco,Morocco,16594502,1
289,7.0,Activist (Germany),Police (Germany),Germany,16594724,1
290,7.0,Citizen (Germany),Unspecified Actor,Germany,16594723,1
291,7.0,Protester (Morocco),Bank (Morocco),Morocco,16594918,1
292,7.0,Protester (Morocco),Morocco,Morocco,16594919,1
293,7.0,Citizen (Israel),Israel,Israel,16594929,1
294,7.0,Party for Democracy and Progress,Unspecified Actor,Tanzania,16594959,1
295,7.0,Citizen (Tanzania),Unspecified Actor,Tanzania,16594960,1
280,7.0,Citizen (India),Barack Obama,India,16594118,1
281,7.0,Activist (India),Unspecified Actor,India,16594312,1
282,7.0,Citizen (South Korea),Unspecified Actor,South Korea,16594338,1
283,7.0,Protester (South Korea),Police (South Korea),South Korea,16594339,1
284,7.0,Protester (Morocco),Bank (Morocco),Morocco,16594355,1
301,7.0,Muslim Brotherhood,Unspecified Actor,Egypt,16595230,1
302,7.0,Muslim (Jordan),Unspecified Actor,Jordan,16595231,1
303,7.0,Citizen (Lebanon),Unspecified Actor,Lebanon,16595266,1
304,7.0,Main Opposition (National League for Democracy),Unspecified Actor,Myanmar,16595280,1
305,7.0,Employee (France),France,France,16595433,1
306,7.0,Protester (France),Unspecified Actor,France,16595431,1
307,7.0,Employee (France),France,France,16595432,1
308,7.0,Student (Eritrea),Unspecified Actor,Eritrea,16595641,1
309,7.0,Citizen (United States),Unspecified Actor,United States,16595671,1
310,7.0,Human Rights Activist (Cuba),Unspecified Actor,Cuba,16595699,1
311,7.0,Protester (Germany),Unspecified Actor,Germany,16595724,1
312,7.0,Protester (Germany),Police (Germany),Germany,16595774,1
313,7.0,Protester (South Korea),Police (South Korea),South Korea,16595824,1
314,7.0,Protester (South Korea),Unspecified Actor,South Korea,16595822,1
315,7.0,Protester (South Korea),Police (South Korea),South Korea,16595823,1
316,7.0,Protester (Afghanistan),Unspecified Actor,Afghanistan,16596052,1
317,7.0,Protester (South Korea),Unspecified Actor,South Korea,16596143,1
318,7.0,Protester (South Korea),Police (South Korea),South Korea,16596144,1
319,7.0,Party Member (Afghanistan),Unspecified Actor,Afghanistan,16596145,1
320,7.0,Citizen (Ukraine),Unspecified Actor,Ukraine,16590903,1
321,7.0,Citizen (Kyrgyzstan),Unspecified Actor,Kyrgyzstan,16590911,1
322,7.0,Protester (Kyrgyzstan),Regional Governor (Kyrgyzstan),Kyrgyzstan,16590910,1
323,7.0,Student (Uganda),Other Authorities / Officials (Uganda),Uganda,16590938,1
324,7.0,Party Member (Afghanistan),Unspecified Actor,Afghanistan,16590960,1
325,7.0,Citizen (Belarus),Unspecified Actor,Belarus,16590972,1
326,7.0,Activist (Germany),Police (Germany),Germany,16590980,1
327,7.0,Activist (Germany),Police (Germany),Germany,16590979,1
296,7.0,Party Member (Afghanistan),Unspecified Actor,Afghanistan,16595030,1
297,7.0,Protester (United States),Unspecified Actor,United States,16595043,1
298,7.0,Protester (Western Sahara),Military Personnel - Special (Western Sahara),Western Sahara,16595135,1
299,7.0,Activist (Morocco),Military Personnel - Special (Morocco),Morocco,16595134,1
300,7.0,Protester (Western Sahara),Fire Brigade (Morocco),Western Sahara,16595137,1
338,7.0,Protester (Cameroon),Unspecified Actor,Cameroon,16593616,1
337,7.0,Protester (Cote d'Ivoire),Unspecified Actor,Cote d'Ivoire,16593608,1
334,7.0,Arab Israelis,Unspecified Actor,Israel,16591172,1
333,7.0,Protester (Kyrgyzstan),Unspecified Actor,Kyrgyzstan,16591164,1
336,7.0,Protester (Germany),Police (Germany),Germany,16593590,1
335,7.0,Activist (Germany),Police (Germany),Germany,16591175,1
269,7.0,Labor Union (Serbia),Unspecified Actor,Serbia,16593688,1
270,7.0,Student (Indonesia),Barack Obama,Indonesia,16593968,1
271,7.0,Student (Indonesia),United States,Indonesia,16593969,1
272,7.0,Citizen (Morocco),Police (Morocco),Morocco,16593977,1
274,7.0,Citizen (Bahrain),Unspecified Actor,Bahrain,16594014,1
273,7.0,Citizen (Bahrain),Unspecified Actor,Bahrain,16594013,1
332,7.0,Activist (Islami Chhatra Shibir),Unspecified Actor,Bangladesh,16591144,1
331,7.0,Activist (Bangladesh),Unspecified Actor,Bangladesh,16591143,1
330,7.0,Activist (Indonesia),Unspecified Actor,Indonesia,16591132,1
329,7.0,Citizen (United States),Unspecified Actor,United States,16591110,1
328,7.0,Citizen (United States),Unspecified Actor,United States,16591100,1
371,8.0,Islamic Action Front,Unspecified Actor,Jordan,16601046,1
370,8.0,Muslim Brotherhood,Unspecified Actor,Egypt,16601045,1
369,8.0,National League for Democracy,Unspecified Actor,Myanmar,16600911,1
368,8.0,Education (New Zealand),Unspecified Actor,New Zealand,16600872,1
367,8.0,Bharatiya Janata,Unspecified Actor,India,16600777,1
366,8.0,Activist (Italy),Unspecified Actor,Italy,16600725,1
365,8.0,National League for Democracy,Unspecified Actor,Myanmar,16600570,1
364,8.0,Citizen (Jordan),Unspecified Actor,Jordan,16600484,1
380,8.0,Rights Activist (South Korea),Unspecified Actor,South Korea,16596342,1
381,8.0,Protester (Germany),Unspecified Actor,Germany,16596451,1
382,8.0,Citizen (Russia),Russia,Russian Federation,16596525,1
383,8.0,Activist (Russia),Russia,Russian Federation,16596526,1
384,8.0,People Associated with the Opposition (Jordan),Unspecified Actor,Jordan,16598904,1
385,8.0,Protester (Morocco),Military (Morocco),Morocco,16598928,1
386,8.0,Protester (Morocco),Military (Morocco),Morocco,16598929,1
387,8.0,Citizen (Guinea),Unspecified Actor,Guinea,16598970,1
372,8.0,Citizen (Guinea),Unspecified Actor,Guinea,16601112,1
373,8.0,Rights Activist (South Korea),Unspecified Actor,South Korea,16601126,1
374,8.0,Citizen (South Korea),South Korea,South Korea,16601127,1
375,8.0,Activist (Yonhap News Agency),Unspecified Actor,South Korea,16601282,1
376,8.0,Citizen (Taiwan),Ma Ying Jeou,Taiwan,16601293,1
377,8.0,Citizen (United States),Unspecified Actor,United States,16596219,1
378,8.0,Citizen (India),Barack Obama,India,16596256,1
379,8.0,Citizen (India),Unspecified Actor,India,16596287,1
356,8.0,Islamic Action Front,Unspecified Actor,Jordan,16600070,1
357,8.0,Citizen (Ukraine),Unspecified Actor,Ukraine,16600073,1
358,8.0,Citizen (India),Unspecified Actor,India,16600080,1
359,8.0,Citizen (India),Unspecified Actor,India,16600089,1
360,8.0,Immigrants (Senegal),Unspecified Actor,Senegal,16600192,1
361,8.0,Muslim Brotherhood,Unspecified Actor,Egypt,16600268,1
362,8.0,Activist (Morocco),Military (Morocco),Morocco,16600276,1
363,8.0,Activist (Morocco),Military (Morocco),Morocco,16600428,1
348,8.0,Citizen (Nigeria),Unspecified Actor,Nigeria,16599746,1
349,8.0,Citizen (Bulgaria),Unspecified Actor,Bulgaria,16599784,1
350,8.0,Citizen (South Korea),Unspecified Actor,South Korea,16599812,1
351,8.0,Protester (Germany),Police (Germany),Germany,16599925,1
352,8.0,Main Opposition (Romania),Legislature (Romania),Romania,16599945,1
353,8.0,Protester (Italy),Silvio Berlusconi,Italy,16599991,1
354,8.0,Protester (Italy),Police (Italy),Italy,16600009,1
339,8.0,Citizen (South Korea),Unspecified Actor,South Korea,16599107,1
340,8.0,Citizen (Jordan),Unspecified Actor,Jordan,16599159,1
341,8.0,Muslim Brotherhood,Unspecified Actor,Egypt,16599160,1
342,8.0,Activist (India),Police (India),India,16599204,1
343,8.0,Activist (Germany),Unspecified Actor,Germany,16599380,1
344,8.0,National League for Democracy,Unspecified Actor,Myanmar,16599475,1
345,8.0,People Associated with the Opposition (Islamic Action Front),Unspecified Actor,Jordan,16599575,1
346,8.0,Citizen (Australia),Australia,Australia,16599596,1
347,8.0,Student (Canada),Unspecified Actor,Canada,16599658,1
355,8.0,Iyad Allawi,Iraq,Iraq,16600030,1
420,9.0,Citizen (Yemen),Unspecified Actor,Yemen,16605548,1
422,9.0,Protester (Nigeria),Government (Nigeria),Nigeria,16605820,1
421,9.0,Company - Owner or Operator (South Africa),Unspecified Actor,South Africa,16605685,1
424,9.0,Citizen (Myanmar),Unspecified Actor,Myanmar,16605905,1
425,9.0,Citizen (Japan),Japan,Japan,16605931,1
426,9.0,Party Member (Afghanistan),Unspecified Actor,Afghanistan,16606088,1
423,9.0,Company - Owner or Operator (South Africa),Unspecified Actor,South Africa,16605844,1
429,9.0,Student (United Kingdom),Government (United Kingdom),United Kingdom,16606292,1
430,9.0,Protester (United Kingdom),Unspecified Actor,United Kingdom,16606294,1
428,9.0,Lawmaker (United States),Unspecified Actor,United States,16606248,1
